transaction_hash,sender_wallet,receiver_wallet,amount,transaction_time,block_height,fee
TX_RING1_01,W_RING_ALPHA_01,W_RING_ALPHA_02,50.000000,2026-09-10T10:00:00Z,860001,0.0001
TX_RING1_02,W_RING_ALPHA_02,W_RING_ALPHA_03,49.950000,2026-09-10T10:05:00Z,860002,0.0001
TX_RING1_03,W_RING_ALPHA_03,W_RING_ALPHA_04,49.900000,2026-09-10T10:10:00Z,860003,0.0001
TX_RING1_04,W_RING_ALPHA_04,W_RING_ALPHA_01,49.850000,2026-09-10T10:15:00Z,860004,0.0001
TX_RING2_01,W_RING_BETA_01,W_RING_BETA_02,120.000000,2026-09-10T11:00:00Z,860010,0.0002
TX_RING2_02,W_RING_BETA_02,W_RING_BETA_03,119.800000,2026-09-10T11:03:00Z,860011,0.0002
TX_RING2_03,W_RING_BETA_03,W_RING_BETA_01,119.600000,2026-09-10T11:06:00Z,860012,0.0002
TX_ADV_01,W_RING_ALPHA_01,W_HOP_HUB_01,49.850000,2026-09-10T12:00:00Z,860020,0.0001
TX_ADV_02,W_HOP_HUB_01,W_RING_ALPHA_03,49.800000,2026-09-10T12:02:00Z,860021,0.0001
TX_PEEL_01,W_EXCHANGE_OUT_01,W_PEEL_01,10.000000,2026-09-10T14:00:00Z,860050,0.0001
TX_PEEL_02,W_PEEL_01,W_PEEL_02,9.500000,2026-09-10T14:10:00Z,860051,0.0001
TX_PEEL_03,W_PEEL_02,W_PEEL_03,9.000000,2026-09-10T14:20:00Z,860052,0.0001
TX_LEGIT_01,W_USER_ALICE,W_MERCHANT_BOB,0.150000,2026-09-10T15:00:00Z,860060,0.00005
TX_LEGIT_02,W_MERCHANT_BOB,W_USER_CHARLIE,0.100000,2026-09-10T16:00:00Z,860070,0.00005
