txId1,txId2,time_step,amount
1001,1002,1,12.50
1002,1003,1,12.45
1003,1004,1,12.40
1004,1001,1,12.35
2001,2002,2,45.00
2002,2003,2,44.80
2003,2004,2,44.50
2004,2001,2,44.20
3001,3002,3,1.50
3002,3003,3,1.48
3003,3004,3,1.45
3004,3005,3,1.40
3005,3001,3,1.38
4001,4002,4,0.50
4002,4003,4,0.85
4003,4004,4,2.10
5001,5002,5,100.00
5002,5003,5,99.50
5003,5004,5,99.00
5004,5001,5,98.50
6001,6002,6,5.20
6002,6003,6,4.80
6003,6004,6,4.50
7001,7002,7,18.75
7002,7003,7,18.70
7003,7001,7,18.65
8001,8002,8,2.30
8002,8003,8,2.25
8003,8004,8,2.20
8004,8001,8,2.15
9001,9002,9,50.00
9002,9003,9,49.50
